1000;
1000;
1000;
256,265
33,723
708,592
910,257
345,802
250,501
648,608
869,106
618,288
26,937
408,389
240,513
392,238
55,517
831,696
701,552
432,417
116,265
968,153
931,907
305,481
574,624
42,639
377,627
843,380
21,499
952,122
63,762
751,50
64,323
590,155
396,158
660,786
377,682
219,617
561,598
491,610
592,682
88,78
309,609
435,540
157,526
395,92
403,562
899,903
625,321
607,648
130,874
876,716
845,847
50,149
752,253
248,254
141,323
530,418
555,458
795,55
631,331
22,166
280,416
390,878
745,544
486,202
169,290
820,388
528,453
259,295
649,673
898,967
267,35
875,459
92,45
879,976
717,27
388,706
734,889
723,222
932,871
107,858
750,223
424,331
804,572
565,626
997,29
889,941
893,242
484,134
465,388
824,752
672,73
918,702
550,527
810,834
687,668
468,760
553,335
186,78
652,147
148,694
456,311
213,135
674,675
956,174
507,522
460,716
853,47
798,417
865,925
749,778
224,890
656,89
747,839
351,737
210,973
355,979
485,291
51,840
819,974
755,856
984,40
787,51
555,746
896,862
788,595
600,567
108,532
946,956
772,186
321,432
895,144
491,513
542,78
129,178
18,580
809,930
397,84
570,923
22,132
552,867
36,891
509,577
841,658
537,194
332,580
910,234
554,267
904,518
984,916
80,955
974,832
712,332
704,895
721,25
787,859
588,945
970,330
353,231
201,730
104,62
648,243
596,774
480,542
218,808
3,120
148,46
14,766
538,562
423,92
434,227
850,492
861,675
246,357
554,96
329,332
423,785
20,453
489,534
543,38
601,220
31,803
419,341
989,228
110,193
68,181
255,312
546,820
760,487
68,248
632,423
702,762
193,923
652,584
635,525
484,389
485,159
62,770
50,389
748,114
802,201
315,396
558,440
311,743
870,267
821,475
323,124
599,689
824,897
772,386
999,565
302,196
795,376
691,105
306,9
518,163
617,195
191,284
415,293
823,743
444,586
76,912
923,942
763,886
32,500
486,36
207,952
598,763
830,938
287,200
646,86
918,355
450,217
750,479
722,306
764,369
57,907
936,9
586,587
825,147
684,41
597,206
974,218
920,74
652,827
708,445
674,432
938,440
921,387
966,775
465,463
305,768
697,72
958,744
646,189
669,445
99,547
575,27
860,440
509,516
651,512
601,456
242,317
143,731
80,582
238,846
896,562
156,103
502,928
51,558
88,22
417,815
289,654
34,298
487,385
130,456
656,698
567,989
82,957
278,701
798,448
690,748
408,402
720,431
781,845
737,383
777,134
156,780
10,311
88,537
753,591
772,707
713,278
897,374
362,252
455,589
652,113
180,528
172,711
544,740
777,652
987,613
999,582
260,580
231,231
241,602
610,221
309,896
175,880
933,280
75,548
402,630
777,130
600,316
143,407
628,103
966,661
321,374
806,106
148,251
608,626
760,527
765,909
768,998
378,677
615,888
574,219
649,338
646,907
976,388
71,423
664,185
417,428
768,461
38,469
225,744
966,324
629,569
99,548
946,821
576,353
490,793
591,106
590,780
601,757
694,145
238,239
626,85
316,336
316,587
737,462
437,165
622,157
454,955
579,198
296,117
513,308
531,128
959,922
337,15
484,689
309,681
141,823
987,571
42,856
306,324
125,201
759,516
772,58
664,43
158,612
230,558
295,400
596,758
413,571
537,338
813,560
937,343
616,912
359,778
802,841
998,845
308,902
249,665
557,932
551,142
60,325
800,611
762,976
652,947
224,122
75,328
701,200
684,8
67,761
631,169
900,78
200,441
453,700
706,733
784,901
785,353
287,52
192,414
692,326
756,655
904,633
894,747
862,221
453,116
468,669
135,657
136,732
317,547
917,241
842,292
551,715
64,935
970,583
561,678
793,119
952,611
822,85
127,369
733,610
396,877
349,841
625,637
